,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
80,Bryan has number0 skittles . Ben has number1 M & M ’ s . Who has more ? How many more does he have ?,50.0 20.0,- number0 number1,30.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",,,Bryan has number0 skittles . Ben has number1 M & M ’ s . Who has more ?,,,How many more does he have ?
81,"Marta picked number0 pumpkins . The first pumpkin weighed number1 pounds , and the second pumpkin weighed number2 pounds . How much did the number3 pumpkins weigh all together ?",2.0 4.0 8.7 2.0,+ number1 number2,12.7,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 23, 24, 25, 26, 27, 28]",,,"Marta picked number0 pumpkins . The first pumpkin weighed number1 pounds , and the second pumpkin weighed number2 pounds .",,,How much did the number3 pumpkins weigh all together ?
82,"Joan found number0 seashells on the beach , she gave Mike number1 of the seashells . How many seashells does she now have ?",79.0 63.0,- number0 number1,16.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",,,"Joan found number0 seashells on the beach , she gave Mike number1 of the seashells .",,,How many seashells does she now have ?
83,A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,86.0 37.0 7.0,/ - number0 number1 number2,7.0,"[2, 3, 4, 19, 20, 21, 33, 34, 35, 42, 43, 44]",,,A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf .,,,How many shelves did they use ?
84,"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",9.0 8.0 5.0,* number1 - number0 number2,32.0,"[4, 5, 6, 13, 14, 15, 22, 23, 24, 33, 34, 35]",,,"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms ,",,,how much longer will he take to paint the rest ?
85,Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,18.0 47.0,+ number0 number1,65.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",,,Sam found number0 seashells and Mary found number1 seashells on the beach .,,,How many seashells did they find together ?
86,Willy has number0 crayons . Lucy has number1 crayons . How many more crayons does Willy have then Lucy ?,1400.0 290.0,- number0 number1,1110.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,Willy has number0 crayons . Lucy has number1 crayons .,,,How many more crayons does Willy have then Lucy ?
87,"In a bag there are number0 red marbles , number1 blue marbles , and number2 green marbles . What percent of the marbles are green ?",13.0 5.0 7.0,* / number2 + + number0 number1 number2 100.0,28.0,"[4, 5, 6, 8, 9, 10, 13, 14, 15, 22, 23, 24]",,,"In a bag there are number0 red marbles , number1 blue marbles , and number2 green marbles .",,,What percent of the marbles are green ?
88,Mary picked number0 oranges and Jason picked number1 oranges from the orange tree . How many oranges were picked in total ?,122.0 105.0,+ number0 number1,227.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",,,Mary picked number0 oranges and Jason picked number1 oranges from the orange tree .,,,How many oranges were picked in total ?
89,number0 students were sitting at each table in the lunchroom . There are number1 tables . How many students were sitting in the lunchroom ?,6.0 34.0,* number0 number1,204.0,"[0, 1, 12, 13, 14, 21, 22, 23]",,,number0 students were sitting at each table in the lunchroom . There are number1 tables .,,,How many students were sitting in the lunchroom ?
90,"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",30.0 36.0 10.0,- + number0 number1 number2,56.0,"[1, 2, 3, 4, 5, 6, 16, 17, 18, 29, 30, 31]",,,"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back ,",,,how many students did n't make the cut ?
91,"Mrs. Hilt impressed number0 fans at the basketball game on Friday . If the fans were seated in equal groups on number1 sets of bleachers , how many fans were on each set ?",2436.0 3.0,/ number0 number1,812.0,"[2, 3, 4, 20, 21, 22, 32, 33, 34]",,,"Mrs. Hilt impressed number0 fans at the basketball game on Friday . If the fans were seated in equal groups on number1 sets of bleachers ,",,,how many fans were on each set ?
92,"This afternoon Craig left school , rode the bus number0 miles , and then walked number1 mile to get home . How much farther did Craig ride than walk ?",3.8333333333333335 0.16666666666666666,- number0 number1,3.6666666666666665,"[8, 9, 10, 14, 15, 16, 26, 27, 28]",,,"This afternoon Craig left school , rode the bus number0 miles , and then walked number1 mile to get home .",,,How much farther did Craig ride than walk ?
93,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,18.0 3.0 5.0,/ - number0 number1 number2,3.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",,,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,,,How many cages did they use ?
94,Brett drove number0 miles every hour . How many miles would he drive in number1 hours ?,55.0 8.0,* number0 number1,440.0,"[1, 2, 3, 13, 14, 15, 13, 14, 15]",,,Brett drove number0 miles every hour .,,,How many miles would he drive in number1 hours ?
95,Harold has number0 marbles . He gets number1 more from Steve . How many marbles does Harold have in all ?,53.0 16.0,+ number0 number1,69.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",,,Harold has number0 marbles . He gets number1 more from Steve .,,,How many marbles does Harold have in all ?
96,"Last Saturday , Spencer walked all over town running errands . First , he walked number0 mile from his house to the library and number1 mile from the library to the post office . Then he walked number2 mile from the post office back home . How many miles did Spencer walk in all ?",0.3 0.1 0.4,+ + number0 number1 number2,0.8,"[14, 15, 16, 23, 24, 25, 36, 37, 38, 51, 52, 53]",,,"Last Saturday , Spencer walked all over town running errands . First , he walked number0 mile from his house to the library and number1 mile from the library to the post office . Then he walked number2 mile from the post office back home .",,,How many miles did Spencer walk in all ?
97,A bee has number0 legs . How many legs do number1 bees have ?,6.0 2.0,* number0 number1,12.0,"[2, 3, 4, 9, 10, 11, 10, 11, 12]",,,A bee has number0 legs .,,,How many legs do number1 bees have ?
98,"Jessica spent $ number0 on a cat toy , and a cage cost her $ number1 . What was the total cost of Jessica 's purchases ?",10.22 11.73,+ number0 number1,21.95,"[2, 3, 4, 14, 15, 16, 23, 24, 25]",,,"Jessica spent $ number0 on a cat toy , and a cage cost her $ number1 .",,,What was the total cost of Jessica 's purchases ?
99,Mrs. Sheridan has number0 cats . Mrs. Garrett has number1 cats . How many more cats does Mrs. Garrett have than Mrs. Sheridan ?,11.0 24.0,- number1 number0,13.0,"[2, 3, 4, 8, 9, 10, 20, 21, 22]",,,Mrs. Sheridan has number0 cats . Mrs. Garrett has number1 cats .,,,How many more cats does Mrs. Garrett have than Mrs. Sheridan ?
100,Dan picked number0 limes and gave Sara number1 of the limes . How many limes does Dan have now ?,9.0 4.0,- number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,Dan picked number0 limes and gave Sara number1 of the limes .,,,How many limes does Dan have now ?
101,"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left , how much money did he earn ?",9.0 12.0 7.0,* number0 - number1 number2,45.0,"[7, 8, 9, 15, 16, 17, 26, 27, 28, 33, 34, 35]",,,"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left ,",,,how much money did he earn ?
102,Nancy grew number0 potatoes . Sandy grew number1 potatoes . How many potatoes did they grow in total ?,6.0 7.0,+ number0 number1,13.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",,,Nancy grew number0 potatoes . Sandy grew number1 potatoes .,,,How many potatoes did they grow in total ?
103,Mary ’ s car gets number0 miles per gallon of gas . How far can she drive on number1 gallons of gas ?,20.0 14.0,* number0 number1,280.0,"[3, 4, 5, 16, 17, 18, 18, 19, 20]",,,Mary ’ s car gets number0 miles per gallon of gas .,,,How far can she drive on number1 gallons of gas ?
104,Roger had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,16.0 28.0 25.0,- + number0 number1 number2,19.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 25, 26, 27]",,,Roger had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game .,,,How much money does he have now ?
105,"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",5.0 2.0 6.0,* number2 - number0 number1,18.0,"[3, 4, 5, 11, 12, 13, 26, 27, 28, 33, 34, 35]",,,"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points ,",,,how many points were scored total ?
106,"Katie 's team won their dodgeball game and scored number0 points total . If Katie scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",12.0 4.0 4.0,/ - number0 number1 number1,2.0,"[8, 9, 10, 15, 16, 17, 23, 24, 25, 32, 33, 34]",,,"Katie 's team won their dodgeball game and scored number0 points total . If Katie scored number1 of the points and everyone else scored number2 points each ,",,,how many players were on her team ?
107,"Sam invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 , how many should he buy ?",9.0 6.0 2.0,* number2 - number0 number1,6.0,"[1, 2, 3, 9, 10, 11, 27, 28, 29, 32, 33, 34]",,,"Sam invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 ,",,,how many should he buy ?
108,Larry starts with number0 stickers . He loses number1 . How many stickers does Larry end with ?,93.0 6.0,- number0 number1,87.0,"[2, 3, 4, 7, 8, 9, 14, 15, 16]",,,Larry starts with number0 stickers . He loses number1 .,,,How many stickers does Larry end with ?
109,"Julian is writing a comic book . His story has number0 frames in all . If he wants to put exactly number1 frames on each page , how many pages would he have ?",143.0 11.0,/ number0 number1,13.0,"[9, 10, 11, 20, 21, 22, 32, 33, 34]",,,"Julian is writing a comic book . His story has number0 frames in all . If he wants to put exactly number1 frames on each page ,",,,how many pages would he have ?
110,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",7.0 4.0 9.0,* number2 - number0 number1,27.0,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]",,,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",,,how much money did he earn ?
111,Each bottle cap costs $ number0 . How much do number1 bottle caps cost ?,2.0 6.0,* number0 number1,12.0,"[4, 5, 6, 9, 10, 11, 11, 12, 13]",,,Each bottle cap costs $ number0 .,,,How much do number1 bottle caps cost ?
112,There are number0 pencils in the drawer and number1 pencils on the desk . Dan placed number2 more pencils on the desk . How many pencils are now there in total ?,43.0 19.0 16.0,+ + number0 number1 number2,78.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 30, 31, 32]",,,There are number0 pencils in the drawer and number1 pencils on the desk . Dan placed number2 more pencils on the desk .,,,How many pencils are now there in total ?
